********************* April 27 Observing Session - beginning 00:30:06 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1619483406|Apr 27 00:30:06||449.843712
1619483408|Apr 27 00:30:08||0.384512
1619483409|Apr 27 00:30:09||0.385792
1619483411|Apr 27 00:30:11||0.604416
1619483412|Apr 27 00:30:12||0.396800
1619483414|Apr 27 00:30:14||12.319744
1619483415|Apr 27 00:30:15||0.343552
1619483417|Apr 27 00:30:17||0.386304
1619483418|Apr 27 00:30:18||0.403968
1619483420|Apr 27 00:30:20||0.461312
1619483421|Apr 27 00:30:21||0.376320
1619483422|Apr 27 00:30:22||0.420608
1619483424|Apr 27 00:30:24||0.442112
1619483425|Apr 27 00:30:25||0.402688
1619483427|Apr 27 00:30:27||0.398080
1619483428|Apr 27 00:30:28||0.354560
1619483430|Apr 27 00:30:30||0.396288
1619483431|Apr 27 00:30:31||0.501248
1619483432|Apr 27 00:30:32||0.374272
1619483434|Apr 27 00:30:34||0.347904
1619483435|Apr 27 00:30:35||0.423168
1619483437|Apr 27 00:30:37||0.351232
1619483438|Apr 27 00:30:38||2.473728
1619483440|Apr 27 00:30:40||0.464384
1619483441|Apr 27 00:30:41||0.621312
1619483442|Apr 27 00:30:42||0.402688
1619483444|Apr 27 00:30:44||1.267200
1619483445|Apr 27 00:30:45||41.830144
1619483447|Apr 27 00:30:47||0.470784
1619483448|Apr 27 00:30:48||1.508352
1619483450|Apr 27 00:30:50||0.567040
1619483451|Apr 27 00:30:51||29.858560
1619483453|Apr 27 00:30:53||3.601152
1619483454|Apr 27 00:30:54||0.400896
1619483456|Apr 27 00:30:56||21.456128
1619483457|Apr 27 00:30:57||23.637248
1619483459|Apr 27 00:30:59||53.738240
1619483460|Apr 27 00:31:00||0.612352
1619483461|Apr 27 00:31:01||1.063680
1619483463|Apr 27 00:31:03||0.785408
1619483464|Apr 27 00:31:04||23.007744
1619483466|Apr 27 00:31:06||23.673600
1619483467|Apr 27 00:31:07||66.533376
1619483469|Apr 27 00:31:09||59.288832
1619483470|Apr 27 00:31:10||23.284224
1619483472|Apr 27 00:31:12||64.358912
1619483473|Apr 27 00:31:13||29.006336
1619483475|Apr 27 00:31:15||25.847808
1619483476|Apr 27 00:31:16||61.266176
1619483478|Apr 27 00:31:18||59.138304
1619483479|Apr 27 00:31:19||61.233408
1619483481|Apr 27 00:31:21||59.158016
1619483482|Apr 27 00:31:22||59.659776
1619483483|Apr 27 00:31:23||60.795648
1619483485|Apr 27 00:31:25||60.224768
1619483486|Apr 27 00:31:26||107.147776
1619483488|Apr 27 00:31:28||61.977344
1619483489|Apr 27 00:31:29||64.872448
1619483491|Apr 27 00:31:31||65.930240
1619483492|Apr 27 00:31:32||152.579584
1619483494|Apr 27 00:31:34||61.012224
1619483496|Apr 27 00:31:36||60.391936
1619483497|Apr 27 00:31:37||61.343232
1619483498|Apr 27 00:31:38||61.234944
1619483500|Apr 27 00:31:40||202.115072
1619483502|Apr 27 00:31:42||70.711808
1619483503|Apr 27 00:31:43||104.211456
1619483505|Apr 27 00:31:45||145.473536
1619483506|Apr 27 00:31:46||70.370304
1619483508|Apr 27 00:31:48||143.493632
1619483509|Apr 27 00:31:49||26.891520
1619483511|Apr 27 00:31:51|8|198.720640|198.713089|-3.854875|-3.742214|88.384165|6.218493|25.936730244926068|120.368446820999239|-129.876743|193.740544|194.526464
1619483512|Apr 27 00:31:52||272.384512
1619483514|Apr 27 00:31:54||171.133696
1619483516|Apr 27 00:31:56||146.112256
1619483517|Apr 27 00:31:57||0.773120
1619483519|Apr 27 00:31:59||0.385792
1619483520|Apr 27 00:32:00||69.783552
1619483522|Apr 27 00:32:02||52.702464
1619483523|Apr 27 00:32:03||104.315904
1619483525|Apr 27 00:32:05||118.742272
1619483526|Apr 27 00:32:06||61.338112
1619483528|Apr 27 00:32:08||52.148992
1619483529|Apr 27 00:32:09||249.990912
1619483531|Apr 27 00:32:11||81.201408
1619483533|Apr 27 00:32:13||79.257344
1619483534|Apr 27 00:32:14||76.387840
1619483536|Apr 27 00:32:16||48.241152
1619483537|Apr 27 00:32:17|7|204.156215|204.152289|1.529840|1.638359|84.355569|6.229402|26.186081866171534|111.942232854976581|-129.663744|107.834624|108.346624
1619483539|Apr 27 00:32:19||73.598464
1619483540|Apr 27 00:32:20||73.933312
1619483542|Apr 27 00:32:22||77.130752
1619483543|Apr 27 00:32:23||73.053184
1619483545|Apr 27 00:32:25||78.153216
1619483546|Apr 27 00:32:26||80.374016
1619483548|Apr 27 00:32:28||90.414336
1619483549|Apr 27 00:32:29||39.003904
1619483551|Apr 27 00:32:31|7|204.213191|204.209266|1.528856|1.637328|84.325760|6.231880|26.186467725375557|111.944200870692910|-129.633108|95.774976|96.368640
1619483552|Apr 27 00:32:32||129.680896
1619483554|Apr 27 00:32:34||79.505152
1619483555|Apr 27 00:32:35||72.759552
1619483557|Apr 27 00:32:37||100.719616
1619483558|Apr 27 00:32:38||48.232192
1619483560|Apr 27 00:32:40||70.713344
1619483561|Apr 27 00:32:41||71.325952
1619483563|Apr 27 00:32:43||71.015680
1619483564|Apr 27 00:32:44||13.273600
1619483566|Apr 27 00:32:46||41.398272
1619483567|Apr 27 00:32:47||68.684800
1619483569|Apr 27 00:32:49||43.146496
1619483570|Apr 27 00:32:50||45.806080
1619483572|Apr 27 00:32:52||43.716608
1619483573|Apr 27 00:32:53||13.159936
1619483575|Apr 27 00:32:55||28.581888
1619483576|Apr 27 00:32:56||29.689088
1619483578|Apr 27 00:32:58||28.452352
1619483579|Apr 27 00:32:59||30.460928
1619483580|Apr 27 00:33:00||0.417536
1619483582|Apr 27 00:33:02||6.471680
1619483583|Apr 27 00:33:03||4.072704
1619483585|Apr 27 00:33:05||30.702848
1619483586|Apr 27 00:33:06||28.676096
1619483588|Apr 27 00:33:08||0.503552
1619483589|Apr 27 00:33:09||7.139328
1619483590|Apr 27 00:33:10||3.579392
1619483592|Apr 27 00:33:12||3.118848
1619483593|Apr 27 00:33:13||0.578560
1619483595|Apr 27 00:33:15||3.794432
1619483596|Apr 27 00:33:16||0.536832
1619483598|Apr 27 00:33:18||4.091136
1619483599|Apr 27 00:33:19||3.082240
1619483600|Apr 27 00:33:20||0.546304
1619483602|Apr 27 00:33:22||19.353856
1619483603|Apr 27 00:33:23||5.766912
1619483605|Apr 27 00:33:25||5.510656
1619483606|Apr 27 00:33:26||5.290240
1619483608|Apr 27 00:33:28||5.135616
1619483609|Apr 27 00:33:29||4.683264
1619483610|Apr 27 00:33:30||6.145280
1619483612|Apr 27 00:33:32||5.711104
1619483613|Apr 27 00:33:33||35.453696
1619483615|Apr 27 00:33:35||35.273728
