********************* February 18 Observing Session - beginning 21:12:39 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1645218759|Feb 18 21:12:39||441.552640
1645218761|Feb 18 21:12:41||0.331520
1645218762|Feb 18 21:12:42||0.296704
1645218764|Feb 18 21:12:44||0.274688
1645218765|Feb 18 21:12:45||0.270848
1645218767|Feb 18 21:12:47||0.334080
1645218768|Feb 18 21:12:48||0.283392
1645218769|Feb 18 21:12:49||0.275200
1645218771|Feb 18 21:12:51||0.270848
1645218772|Feb 18 21:12:52||0.285440
1645218774|Feb 18 21:12:54||0.283904
1645218775|Feb 18 21:12:55||0.282112
1645218776|Feb 18 21:12:56||0.328192
1645218778|Feb 18 21:12:58||0.281088
1645218779|Feb 18 21:12:59||0.296704
1645218781|Feb 18 21:13:01||0.298496
1645218782|Feb 18 21:13:02||0.304384
1645218783|Feb 18 21:13:03||0.318208
1645218785|Feb 18 21:13:05||0.289024
1645218786|Feb 18 21:13:06||0.273408
1645218787|Feb 18 21:13:07||0.298752
1645218789|Feb 18 21:13:09||0.272384
1645218790|Feb 18 21:13:10||0.259840
1645218792|Feb 18 21:13:12||0.275200
1645218793|Feb 18 21:13:13||0.300032
1645218794|Feb 18 21:13:14||0.286464
1645218796|Feb 18 21:13:16||0.269056
1645218797|Feb 18 21:13:17||0.306432
1645218799|Feb 18 21:13:19||0.286720
1645218800|Feb 18 21:13:20||0.268032
1645218801|Feb 18 21:13:21||0.299264
1645218803|Feb 18 21:13:23||0.303872
1645218804|Feb 18 21:13:24||0.283392
1645218805|Feb 18 21:13:25||0.291840
1645218807|Feb 18 21:13:27||0.282880
1645218808|Feb 18 21:13:28||0.312576
1645218810|Feb 18 21:13:30||0.274432
1645218811|Feb 18 21:13:31||0.293632
1645218812|Feb 18 21:13:32||0.273408
1645218814|Feb 18 21:13:34||0.288768
1645218815|Feb 18 21:13:35||0.295168
1645218817|Feb 18 21:13:37||0.261888
1645218818|Feb 18 21:13:38||0.275200
1645218819|Feb 18 21:13:39||0.292608
1645218821|Feb 18 21:13:41||0.299264
1645218822|Feb 18 21:13:42||0.302592
1645218824|Feb 18 21:13:44||0.284928
1645218825|Feb 18 21:13:45||0.320768
1645218826|Feb 18 21:13:46||0.302592
1645218828|Feb 18 21:13:48||0.285184
1645218829|Feb 18 21:13:49||0.290304
1645218830|Feb 18 21:13:50||0.302080
1645218832|Feb 18 21:13:52||0.283648
1645218833|Feb 18 21:13:53||0.305408
1645218835|Feb 18 21:13:55||0.268032
1645218836|Feb 18 21:13:56||0.270080
1645218837|Feb 18 21:13:57||0.272640
1645218839|Feb 18 21:13:59||0.286208
1645218840|Feb 18 21:14:00||0.299520
1645218842|Feb 18 21:14:02||0.285440
1645218843|Feb 18 21:14:03||0.283136
1645218844|Feb 18 21:14:04||0.270080
1645218846|Feb 18 21:14:06||0.279296
1645218847|Feb 18 21:14:07||0.306432
1645218849|Feb 18 21:14:09||0.264192
1645218850|Feb 18 21:14:10||0.281344
1645218851|Feb 18 21:14:11||0.292352
1645218853|Feb 18 21:14:13||0.267520
1645218854|Feb 18 21:14:14||0.272384
1645218855|Feb 18 21:14:15||0.285952
1645218857|Feb 18 21:14:17||0.299776
