********************* March 16 Observing Session - beginning 03:37:43 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1615865863|Mar 16 03:37:43||433.158144
1615865864|Mar 16 03:37:44||0.302592
1615865866|Mar 16 03:37:46||0.283648
1615865867|Mar 16 03:37:47||0.341504
1615865869|Mar 16 03:37:49||0.281088
1615865870|Mar 16 03:37:50||0.286720
1615865872|Mar 16 03:37:52||0.276992
1615865873|Mar 16 03:37:53||0.281344
1615865874|Mar 16 03:37:54||0.337408
1615865876|Mar 16 03:37:56||0.269824
1615865877|Mar 16 03:37:57||0.279552
1615865879|Mar 16 03:37:59||0.328448
1615865880|Mar 16 03:38:00||0.274688
1615865882|Mar 16 03:38:02||0.267264
1615865883|Mar 16 03:38:03||0.346880
1615865884|Mar 16 03:38:04||0.319488
1615865886|Mar 16 03:38:06||0.298752
1615865887|Mar 16 03:38:07||0.299264
1615865889|Mar 16 03:38:09||0.269568
1615865890|Mar 16 03:38:10||0.452608
1615865891|Mar 16 03:38:11||0.279296
1615865893|Mar 16 03:38:13||0.371968
1615865894|Mar 16 03:38:14||0.298240
1615865896|Mar 16 03:38:16||0.296448
1615865897|Mar 16 03:38:17||0.265728
1615865899|Mar 16 03:38:19||0.293120
1615865900|Mar 16 03:38:20||0.289792
1615865901|Mar 16 03:38:21||0.309760
1615865903|Mar 16 03:38:23||0.260352
1615865904|Mar 16 03:38:24||0.294656
1615865906|Mar 16 03:38:26||0.281344
1615865907|Mar 16 03:38:27||0.285184
1615865909|Mar 16 03:38:29||0.296704
1615865910|Mar 16 03:38:30||0.315136
1615865911|Mar 16 03:38:31||0.341760
1615865913|Mar 16 03:38:33||0.287232
1615865914|Mar 16 03:38:34||0.280320
1615865916|Mar 16 03:38:36||0.307456
1615865917|Mar 16 03:38:37||0.287744
1615865918|Mar 16 03:38:38||0.282368
1615865920|Mar 16 03:38:40||0.282880
1615865921|Mar 16 03:38:41||0.307456
1615865923|Mar 16 03:38:43||0.350208
1615865924|Mar 16 03:38:44||0.296192
1615865926|Mar 16 03:38:46||0.270336
1615865927|Mar 16 03:38:47||0.270592
1615865928|Mar 16 03:38:48||0.285184
1615865930|Mar 16 03:38:50||0.281856
1615865931|Mar 16 03:38:51||0.268288
1615865933|Mar 16 03:38:53||0.305152
1615865934|Mar 16 03:38:54||0.255232
1615865936|Mar 16 03:38:56||0.361472
1615865937|Mar 16 03:38:57||0.270848
1615865938|Mar 16 03:38:58||0.290560
1615865940|Mar 16 03:39:00||0.261632
1615865941|Mar 16 03:39:01||4.169216
1615865943|Mar 16 03:39:03||0.308224
1615865944|Mar 16 03:39:04||0.319232
1615865946|Mar 16 03:39:06||0.300032
1615865947|Mar 16 03:39:07||0.282880
1615865948|Mar 16 03:39:08||0.357120
1615865950|Mar 16 03:39:10||0.280064
1615865951|Mar 16 03:39:11||0.303360
1615865953|Mar 16 03:39:13||0.283648
1615865954|Mar 16 03:39:14||0.295168
1615865955|Mar 16 03:39:15||0.321536
1615865957|Mar 16 03:39:17||0.263424
1615865958|Mar 16 03:39:18||0.400640
1615865960|Mar 16 03:39:20||0.287488
1615865961|Mar 16 03:39:21||0.303360
1615865963|Mar 16 03:39:23||0.323328
1615865964|Mar 16 03:39:24||4.145920
1615865965|Mar 16 03:39:25||0.326656
1615865967|Mar 16 03:39:27||0.293120
1615865968|Mar 16 03:39:28||0.315136
1615865970|Mar 16 03:39:30||0.269312
1615865971|Mar 16 03:39:31||0.352768
1615865973|Mar 16 03:39:33||0.280832
1615865974|Mar 16 03:39:34||0.316416
1615865975|Mar 16 03:39:35||0.297728
1615865977|Mar 16 03:39:37||0.281344
1615865978|Mar 16 03:39:38||0.325888
1615865980|Mar 16 03:39:40||0.282624
1615865981|Mar 16 03:39:41||0.285440
1615865982|Mar 16 03:39:42||0.299776
1615865984|Mar 16 03:39:44||0.289280
1615865985|Mar 16 03:39:45||0.294400
1615865987|Mar 16 03:39:47||0.373760
1615865988|Mar 16 03:39:48||4.180224
1615865990|Mar 16 03:39:50||0.288512
1615865991|Mar 16 03:39:51||0.287744
1615865992|Mar 16 03:39:52||0.345344
1615865994|Mar 16 03:39:54||0.269824
1615865995|Mar 16 03:39:55||0.267520
