********************* March 21 Observing Session - beginning 03:02:03 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1616295723|Mar 21 03:02:03|15|183.175817|28.774004|47.832816|6.223531|59.769635791172362|101.047188097512404|-106.911538|571.392768|571.941120
1616295725|Mar 21 03:02:05|15|183.183766|28.774130|47.804901|6.226994|59.770006644195917|101.047337536630110|-106.883689|91.689728|92.136192
1616295726|Mar 21 03:02:06|15|183.191862|28.773317|47.510332|6.219916|59.766642809070191|101.045216737629943|-106.589067|159.517440|159.944192
1616295728|Mar 21 03:02:08|15|183.198141|28.773398|47.841109|6.220909|59.768246764812304|101.046936519450853|-106.919358|90.176512|90.628864
1616295729|Mar 21 03:02:09|14|183.204181|28.772851|47.462065|6.220108|59.766565378967385|101.046204578902149|-106.540051|173.225216|173.692160
1616295731|Mar 21 03:02:11|15|183.210702|28.773935|47.832816|6.223531|59.768502630124672|101.045998415053845|-106.911863|50.917376|51.347712
1616295733|Mar 21 03:02:13|15|183.215883|28.774177|47.804901|6.226994|59.771014198642391|101.048427642835009|-106.883377|94.225664|94.662912
1616295734|Mar 21 03:02:14|14|183.221705|28.773950|47.780780|6.226095|59.769661718290237|101.047343683206648|-106.859402|92.236288|92.690944
1616295736|Mar 21 03:02:16|14|183.228871|28.774482|47.832816|6.223531|59.770830160921008|101.047501098039334|-106.911875|159.054336|159.556096
1616295737|Mar 21 03:02:17|15|183.235641|28.773441|47.780780|6.226095|59.768345923637810|101.046955660162084|-106.859062|155.126528|155.605248
1616295739|Mar 21 03:02:19|13|183.242801|28.773962|47.832816|6.223531|59.769513065002158|101.047138424529649|-106.911516|90.140928|90.817792
1616295740|Mar 21 03:02:20|14|183.248242|28.774204|47.780780|6.226095|59.768687377552368|101.045596192811402|-106.860205|95.366656|95.769344
1616295742|Mar 21 03:02:22|14|183.253817|28.773999|47.780780|6.226095|59.770673926820450|101.048432677524744|-106.859093|91.078144|91.522048
1616295743|Mar 21 03:02:23|15|183.260595|28.774762|47.796585|6.229617|59.769110865008514|101.044808649378254|-106.876777|151.453440|151.944192
1616295745|Mar 21 03:02:25|14|183.267217|28.773169|47.748898|6.223058|59.769596409742164|101.049072546508171|-106.826241|90.828544|91.256064
1616295746|Mar 21 03:02:26|13|183.274002|28.774140|47.773002|6.223957|59.768134976097642|101.045087679262210|-106.852533|95.092224|95.534080
1616295748|Mar 21 03:02:28|15|183.280355|28.774247|47.780780|6.226095|59.769696064047949|101.046695454421894|-106.859886|153.121792|153.610240
1616295749|Mar 21 03:02:29|14|183.285930|28.774042|47.780780|6.226095|59.768540232836784|101.045796527459601|-106.859991|87.657472|88.098304
1616295751|Mar 21 03:02:31|14|183.293737|28.773635|47.757225|6.220441|59.768743873006883|101.046981229397517|-106.835676|88.914944|89.386240
1616295752|Mar 21 03:02:32|15|183.300085|28.772722|47.423854|6.215499|59.766643419833841|101.046595366331971|-106.501594|163.633664|164.303104
1616295754|Mar 21 03:02:34|15|183.306660|28.774481|47.804901|6.226994|59.768886191777327|101.045192136459889|-106.884710|92.157696|92.569600
1616295756|Mar 21 03:02:36|14|183.312469|28.774283|47.780780|6.226095|59.770700549751133|101.047807348980513|-106.859557|151.659520|152.100864
1616295757|Mar 21 03:02:37|14|183.319598|28.774739|47.832816|6.223531|59.768715027832442|101.044391118609866|-106.913124|91.663104|92.076032
1616295759|Mar 21 03:02:39|14|183.325071|28.775039|47.780780|6.226095|59.771037595716365|101.046459023326832|-106.860689|92.364800|92.936448
1616295760|Mar 21 03:02:40|14|183.331412|28.773271|47.748898|6.223058|59.768503066583897|101.047536234083992|-106.826835|151.628288|152.146176
1616295762|Mar 21 03:02:42|15|183.337231|28.773851|47.752824|6.229559|59.770708438660876|101.048818628413585|-106.830874|92.581888|93.029120
1616295763|Mar 21 03:02:43|14|183.344582|28.774312|47.780780|6.226095|59.768559153798677|101.045194190315073|-106.860435|90.999552|91.460608
1616295765|Mar 21 03:02:45|15|183.351909|28.772442|47.419570|6.224260|59.768372374715710|101.049300594604901|-106.496172|163.158784|163.687168
1616295766|Mar 21 03:02:46|14|183.357937|28.773517|47.748898|6.223058|59.767533314432391|101.045814169536811|-106.827621|151.194112|151.809024
1616295768|Mar 21 03:02:48|15|183.363785|28.774094|47.752824|6.229559|59.769716413480765|101.047075691706212|-106.831665|94.225920|94.822656
1616295769|Mar 21 03:02:49|15|183.371122|28.774542|47.780780|6.226095|59.767571332246106|101.043486357103987|-106.861202|91.787520|92.209152
1616295771|Mar 21 03:02:51|15|183.376394|28.774850|47.752824|6.229559|59.770048627852887|101.045719219417080|-106.832801|151.158272|151.621376
1616295773|Mar 21 03:02:53|14|183.382895|28.773341|47.705184|6.222993|59.770668252548276|101.049951406897080|-106.782397|47.928320|48.394752
1616295774|Mar 21 03:02:54|14|183.390036|28.773550|47.748898|6.223058|59.768547730825688|101.046944081628695|-106.827283|88.668416|89.121024
1616295776|Mar 21 03:02:56|13|183.395538|28.773910|47.696831|6.225614|59.770878965821026|101.048883790191780|-106.774915|150.822144|151.228928
1616295777|Mar 21 03:02:57|14|183.403236|28.774556|47.780780|6.226095|59.768563998882676|101.044633753258978|-106.860841|90.331648|90.773760
1616295779|Mar 21 03:02:59|14|183.408526|28.774877|47.752824|6.229559|59.771034171602302|101.046829302179432|-106.832464|91.930368|92.408576
1616295780|Mar 21 03:03:00|15|183.414323|28.774717|47.728702|6.228654|59.769735254697778|101.045653812471670|-106.808578|90.367488|90.863104
1616295782|Mar 21 03:03:02|15|183.421195|28.775439|47.744483|6.232184|59.771222314588044|101.045751698278252|-106.824989|152.690432|153.167872
1616295783|Mar 21 03:03:03|15|183.427650|28.773960|47.696831|6.225614|59.768750007848396|101.046235357410239|-106.775824|90.558208|90.999552
1616295785|Mar 21 03:03:05|15|183.433224|28.773755|47.696831|6.225614|59.770736536268465|101.049072320414652|-106.774711|90.938112|91.363072
1616295786|Mar 21 03:03:06|15|183.440037|28.774662|47.720937|6.226517|59.769221606747067|101.045170592730884|-106.800921|88.697600|89.129984
1616295788|Mar 21 03:03:08|15|183.447091|28.773431|47.705184|6.222993|59.769567487877310|101.048433426254888|-106.782975|90.433280|91.089152
1616295789|Mar 21 03:03:09|15|183.453903|28.774330|47.729281|6.223896|59.768049463643607|101.044544592434548|-106.809164|90.410752|90.833408
1616295791|Mar 21 03:03:11|16|183.459762|28.774002|47.696831|6.225614|59.769758596644394|101.047337282925994|-106.775503|91.115520|91.579136
1616295792|Mar 21 03:03:12|15|183.465083|28.774352|47.668831|6.229074|59.769078468575287|101.045718932057298|-106.748351|151.738624|152.170496
1616295794|Mar 21 03:03:14|16|183.472363|28.774760|47.696831|6.225614|59.770097410049559|101.045985374863236|-106.776639|91.106560|91.673600
1616295795|Mar 21 03:03:15|16|183.479816|28.772784|47.338819|6.223788|59.766619395458896|101.046423288936722|-106.416672|163.966720|164.439808
1616295797|Mar 21 03:03:17|15|183.486006|28.774350|47.729281|6.223896|59.769053066433003|101.045691808257885|-106.808809|91.479296|91.940096
1616295798|Mar 21 03:03:18|15|183.491636|28.774604|47.668831|6.229074|59.768091898269383|101.043961569691788|-106.749154|48.499712|48.924672
1616295800|Mar 21 03:03:20|16|183.497214|28.774399|47.668831|6.229074|59.770075843610343|101.046796092404747|-106.748043|155.696640|156.145152
1616295802|Mar 21 03:03:22|15|183.504476|28.774792|47.696831|6.225614|59.771100084795279|101.047104745922354|-106.776303|90.732544|91.205376
1616295803|Mar 21 03:03:23|15|183.510406|28.773865|47.645366|6.223408|59.769306797035668|101.047117159986257|-106.723984|48.210688|48.750592
1616295805|Mar 21 03:03:25|16|183.516736|28.773680|47.668831|6.229074|59.770735353525410|101.049245221457312|-106.746585|99.186432|99.701760
1616295806|Mar 21 03:03:26|16|183.523987|28.774064|47.696831|6.225614|59.768621696585228|101.045841518024886|-106.776048|152.464384|152.899328
1616295808|Mar 21 03:03:28|16|183.529345|28.774439|47.668831|6.229074|59.771069091034079|101.047885990705367|-106.747724|92.917504|93.380864
1616295809|Mar 21 03:03:29|16|183.535123|28.774326|47.644722|6.228166|59.769807549071146|101.046646202329072|-106.723916|93.618944|94.051328
1616295811|Mar 21 03:03:31|16|183.542063|28.775021|47.660454|6.231695|59.771229718934478|101.046729448532645|-106.740258|151.863296|152.290560
1616295812|Mar 21 03:03:32|17|183.548192|28.773534|47.636987|6.226026|59.768998386258787|101.047517863562589|-106.715171|93.335808|93.802496
1616295814|Mar 21 03:03:34|15|183.554439|28.774203|47.616681|6.231626|59.770928252010094|101.048264792539229|-106.695235|91.159296|91.649280
1616295815|Mar 21 03:03:35|17|183.561673|28.774574|47.644722|6.228166|59.768821495992832|101.044898515447159|-106.724713|92.581376|93.219328
1616295817|Mar 21 03:03:37|16|183.567250|28.774368|47.644722|6.228166|59.770805595842653|101.047735149464714|-106.723600|94.889472|95.364352
