********************* May 02 Observing Session - beginning 01:40:30 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1619919630|May 02 01:40:30|13|217.307567|217.314802|10.194413|10.289238|-101.044440|6.224488|38.551673015454639|111.905653663629209|54.805454|478.710272|479.213312
1619919632|May 02 01:40:32|11|217.315299|217.322536|10.194093|10.288909|-101.045505|6.222648|38.551895592567668|111.906492592267568|54.806931|8.606208|9.049088
1619919634|May 02 01:40:34|11|217.321604|217.328842|10.193860|10.288668|-100.980774|6.224575|38.553191989502267|111.908493458347579|54.743085|8.344320|8.787712
1619919635|May 02 01:40:35|11|217.327180|217.334420|10.193836|10.288637|-101.025632|6.219297|38.552181963323370|111.907298875336167|54.787446|8.463104|8.944128
1619919636|May 02 01:40:36|11|217.333589|217.340830|10.194334|10.289127|-101.092235|6.222442|38.550940950619079|111.904897768072530|54.852947|8.336384|8.850944
1619919638|May 02 01:40:38|11|217.339520|217.346762|10.193766|10.288552|-100.980774|6.224575|38.552272022699441|111.907532990984549|54.742699|8.217088|8.766720
1619919639|May 02 01:40:39|11|217.345409|217.352653|10.193382|10.288161|-101.027521|6.224371|38.550790219827590|111.906398428320571|54.789042|8.439552|10.341120
1619919641|May 02 01:40:41|11|217.350581|217.357828|10.194376|10.289149|-101.027521|6.224371|38.553740839331958|111.908251802586904|54.789633|8.391680|9.017088
1619919642|May 02 01:40:42|11|217.357097|217.364345|10.194045|10.288810|-100.978923|6.219501|38.551849846408849|111.906522704288065|54.740372|8.457472|9.051392
1619919644|May 02 01:40:44|11|217.363521|217.370771|10.194571|10.289328|-101.045505|6.222648|38.553587492067123|111.907718681847911|54.807356|7.651072|8.115200
1619919645|May 02 01:40:45|11|217.369028|217.376280|10.193870|10.288620|-101.045505|6.222648|38.552157291012563|111.907208914100224|54.807274|9.446144|10.009600
1619919646|May 02 01:40:46|11|217.375729|217.382982|10.193923|10.288665|-101.027521|6.224371|38.550401167525550|111.904964318419573|54.788338|8.379392|8.888064
1619919648|May 02 01:40:48|11|217.381616|217.388871|10.193572|10.288307|-101.074265|6.224161|38.551913132906378|111.907437271096995|54.836186|8.168448|8.681472
1619919649|May 02 01:40:49|11|217.387301|217.394557|10.193421|10.288149|-101.047411|6.227727|38.550737806339839|111.906265563853779|54.808868|8.811008|9.330944
1619919651|May 02 01:40:51|11|217.392898|217.400156|10.193851|10.288573|-100.978923|6.219501|38.552996702062657|111.908269740914506|54.741142|8.569088|9.094912
1619919652|May 02 01:40:52|12|217.399244|217.406505|10.194734|10.289448|-101.091184|6.224277|38.552066695795276|111.905567277370253|54.852101|8.625408|9.225984
1619919654|May 02 01:40:54|12|217.405174|217.412435|10.193808|10.288515|-101.030483|6.227607|38.553150842807590|111.908534544098714|54.792821|8.831744|9.331712
1619919655|May 02 01:40:55|12|217.411558|217.418821|10.193757|10.288456|-101.027521|6.224371|38.551547283704473|111.906661287132479|54.789082|8.220160|8.722944
1619919656|May 02 01:40:56|11|217.417169|217.424434|10.193918|10.288610|-101.046345|6.229571|38.550640012891627|111.905265514133646|54.807290|8.118272|8.731136
1619919658|May 02 01:40:58|11|217.423134|217.430401|10.194023|10.288708|-101.092235|6.222442|38.552412298614314|111.907249436237592|54.853992|8.044032|8.602368
1619919659|May 02 01:40:59|12|217.429472|217.436740|10.193673|10.288350|-101.027521|6.224371|38.550634464067478|111.905692819806930|54.788691|7.343104|7.830784
1619919661|May 02 01:41:01|12|217.434696|217.441967|10.194210|10.288880|-101.044440|6.224488|38.553232233631590|111.907923283021020|54.806445|8.592128|9.072640
1619919662|May 02 01:41:02|12|217.441043|217.448315|10.193958|10.288621|-101.092235|6.222442|38.551516743083148|111.906267913813892|54.853593|8.361472|8.829952
1619919664|May 02 01:41:04|12|217.446975|217.454249|10.193958|10.288614|-101.025632|6.219297|38.553239480101475|111.908378171403243|54.787876|8.421632|8.953856
1619919665|May 02 01:41:05|12|217.452611|217.459886|10.194129|10.288778|-101.044440|6.224488|38.552321942898686|111.906950891032565|54.806052|8.594176|9.084928
1619919666|May 02 01:41:06|12|217.458952|217.466229|10.193892|10.288533|-101.092235|6.222442|38.550620562991547|111.905287379465733|54.853193|8.508160|8.968960
1619919668|May 02 01:41:08|12|217.465301|217.472579|10.193501|10.288135|-101.027521|6.224371|38.551776849066378|111.907395606329530|54.789438|8.195328|8.739328
1619919669|May 02 01:41:09|12|217.470978|217.478258|10.194099|10.288726|-101.045505|6.222648|38.551125110686385|111.905538421307782|54.806529|8.297728|8.754176
1619919671|May 02 01:41:11|12|217.476808|217.484090|10.194269|10.288888|-101.075321|6.222325|38.553037746587442|111.907581264875247|54.837172|8.623104|9.101056
1619919672|May 02 01:41:12|13|217.482774|217.490058|10.193783|10.288395|-101.025632|6.219297|38.551430824944866|111.906472327629146|54.787109|8.620544|9.242368
1619919674|May 02 01:41:14|13|217.488887|217.496172|10.194017|10.288622|-101.045505|6.222648|38.553187442436808|111.908209161866409|54.807666|7.481600|8.167680
1619919675|May 02 01:41:15|13|217.494266|217.501554|10.194563|10.289161|-101.073394|6.217257|38.552711314249414|111.906659522962357|54.834802|8.736768|9.253888
1619919677|May 02 01:41:17|13|217.500674|217.507962|10.193695|10.288285|-101.025632|6.219297|38.553495431307468|111.909157781449196|54.788253|8.352768|8.851968
1619919678|May 02 01:41:18|12|217.507170|217.514461|10.194388|10.288970|-101.092235|6.222442|38.552326950906433|111.906499960653605|54.853609|7.493888|7.998720
1619919679|May 02 01:41:19|13|217.513069|217.520362|10.194310|10.288885|-101.025632|6.219297|38.551050030175304|111.905073255500412|54.786422|8.463360|8.920576
1619919681|May 02 01:41:21|13|217.518760|217.526055|10.194502|10.289070|-101.044440|6.224488|38.553077474779727|111.907216024465839|54.806093|8.632320|9.121280
1619919682|May 02 01:41:22|12|217.524642|217.531938|10.194265|10.288826|-101.091184|6.224277|38.551702252439227|111.905951523684308|54.852351|8.720640|9.193984
1619919684|May 02 01:41:24|13|217.530053|217.537351|10.194413|10.288967|-101.073394|6.217257|38.553897823865015|111.908378614152298|54.835552|8.360192|8.870400
1619919685|May 02 01:41:25|12|217.536957|217.544255|10.193146|10.287692|-101.027521|6.224371|38.551084391460030|111.907176067494177|54.789413|8.209920|8.704768
1619919687|May 02 01:41:27|13|217.542987|217.550288|10.194247|10.288786|-101.092235|6.222442|38.553499277132786|111.908183857717447|54.854343|8.520448|9.065728
1619919688|May 02 01:41:28|13|217.547947|217.555249|10.194336|10.288869|-101.073394|6.217257|38.553005243972230|111.907421157567043|54.835165|82.807296|83.995904
1619919689|May 02 01:41:29|13|217.554589|217.561893|10.194331|10.288856|-101.044440|6.224488|38.551250476407105|111.905281379997561|54.805313|7.602432|8.203008
1619919691|May 02 01:41:31|14|217.560895|217.568201|10.194176|10.288693|-101.092235|6.222442|38.552599604094539|111.907208819653860|54.853947|45.445632|46.232064
1619919692|May 02 01:41:32|14|217.567648|217.574956|10.194171|10.288680|-101.074265|6.224161|38.550766259409386|111.904972132986430|54.835039|48.197376|49.477888
1619919694|May 02 01:41:34|14|217.573296|217.580607|10.194804|10.289305|-101.092235|6.222442|38.553128639831790|111.906745132637468|54.853634|43.343360|43.822592
1619919695|May 02 01:41:35|14|217.579735|217.587046|10.193870|10.288364|-101.044440|6.224488|38.550875577931038|111.905639175251636|54.805550|43.350784|43.825920
1619919697|May 02 01:41:37|14|217.585608|217.592920|10.193630|10.288117|-101.028591|6.222532|38.552475097128436|111.908022615466464|54.790747|43.564544|44.047360
1619919698|May 02 01:41:38|14|217.591574|217.598890|10.195251|10.289731|-101.138962|6.222228|38.552325321439817|111.904968583363029|54.899531|8.674048|9.209600
1619919700|May 02 01:41:40|14|217.598020|217.605337|10.194308|10.288779|-101.091184|6.224277|38.553030371183894|111.907502863995902|54.852994|44.081664|44.529920
1619919701|May 02 01:41:41|14|217.603887|217.611205|10.194067|10.288532|-101.075321|6.222325|38.551663474183620|111.906254831353053|54.836653|8.792064|9.337344
1619919703|May 02 01:41:43|15|217.609482|217.616803|10.195192|10.289649|-101.138962|6.222228|38.554404184934590|111.907620289582155|54.900656|8.570112|9.086208
1619919704|May 02 01:41:44|14|217.615918|217.623239|10.194149|10.288599|-101.028591|6.222532|38.552078351738402|111.906617548997332|54.790060|42.512128|42.938112
1619919706|May 02 01:41:46|14|217.622067|217.629392|10.194919|10.289361|-101.094179|6.227520|38.554178998474008|111.907827627875577|54.856011|42.154752|42.668288
1619919707|May 02 01:41:47|14|217.627021|217.634346|10.194581|10.289017|-101.092235|6.222442|38.553394546632042|111.907464866640495|54.853978|42.040320|42.562560
